titel;artiest;jaar;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
The Way It Is;Bruce Hornsby & The Range;1986;496;738;1073;715;667;868;945;1159;997;926;1508;1398;1371;1246;1293;981
The River;Bruce Springsteen;1981;48;33;26;19;30;20;27;40;11;21;30;30;10;15;7;16
Born To Run;Bruce Springsteen;1975;223;210;105;90;120;131;189;206;149;145;128;144;179;179;135;173
Streets Of Philadelphia;Bruce Springsteen;1994;0;0;76;159;162;116;136;147;114;131;170;161;140;171;143;183
Thunder Road;Bruce Springsteen;1975;0;0;0;0;0;0;0;0;250;1321;373;384;397;409;240;285
Dancing In The Dark;Bruce Springsteen;1984;318;144;150;183;220;217;287;274;236;231;350;380;222;327;236;293
I'm On Fire;Bruce Springsteen;1985;332;298;322;363;406;399;469;496;438;425;462;458;419;343;272;335
Badlands;Bruce Springsteen;1978;0;0;0;0;0;0;0;0;0;0;389;360;415;320;280;362
Born In The USA;Bruce Springsteen;1985;119;158;122;111;214;183;254;282;258;214;293;266;249;273;309;489
My Hometown;Bruce Springsteen;1986;604;0;497;468;471;395;458;416;281;381;600;590;600;573;453;537
Glory Days;Bruce Springsteen;1985;0;0;0;0;0;0;0;0;0;0;1036;908;930;837;687;839
Waiting On A Sunny Day;Bruce Springsteen;2003;0;0;0;0;0;0;0;0;0;0;1156;1158;1391;1164;664;911
Working On A Dream;Bruce Springsteen;2008;0;0;0;0;0;0;0;0;0;0;598;424;680;898;722;935
Hungry Heart;Bruce Springsteen;1980;0;0;0;0;0;0;0;0;0;0;1523;1231;1303;1266;1010;1046
The Rising;Bruce Springsteen;2002;0;0;0;0;0;0;0;0;0;0;831;910;947;976;799;1054
Human Touch;Bruce Springsteen;1992;0;0;0;0;0;0;0;0;0;0;1363;0;1362;1279;1076;1165
Brilliant Disguise;Bruce Springsteen;1987;0;0;0;0;0;0;0;0;0;0;1484;0;1407;1112;1084;1188
Secret Garden;Bruce Springsteen;1995;1169;0;828;979;981;1170;1244;1309;1164;1182;1781;1713;1643;1676;1233;1625
Jungleland;Bruce Springsteen;1975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1634
War;Bruce Springsteen;1980;0;0;0;0;0;0;0;0;1206;0;1580;0;1508;1988;1672;1710
We Take Care Of Our Own;Bruce Springsteen;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;939;1176;1797
When I Was Your Man;Bruno Mars;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;834
Locked Out of Heaven;Bruno Mars;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1283;876
Just The Way You Are;Bruno Mars;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1278
Grenade;Bruno Mars;2010;0;0;0;0;0;0;0;0;0;0;0;0;320;768;898;1414
Treasure;Bruno Mars;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1652
Marry You;Bruno Mars;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;1341;1276;1736
The Lazy Song;Bruno Mars;2011;0;0;0;0;0;0;0;0;0;0;0;0;432;1227;1467;1953
Summer Of '69;Bryan Adams;1984;45;43;94;51;57;59;88;109;98;77;139;131;107;145;167;197
(Everything I Do) I Do It For You;Bryan Adams;1991;55;69;63;131;128;153;220;208;229;166;483;459;469;197;581;660
Heaven;Bryan Adams;1985;0;479;276;317;355;293;544;543;613;459;861;810;730;815;915;1073
Run To You;Bryan Adams;1985;419;659;392;664;726;616;777;798;797;711;1133;1121;1064;1058;1047;1126
Have You Ever Really Loved A Woman;Bryan Adams;1995;670;0;848;1090;1104;842;925;948;758;866;1410;1413;1804;0;0;0
Please Forgive Me;Bryan Adams;1993;0;0;0;1128;858;741;919;1078;1019;979;1798;1600;1597;1817;1956;0
When You're Gone;Bryan Adams & Mel C;1998;0;0;0;0;0;0;0;0;1659;0;0;1933;0;0;0;0
It's Only Love;Bryan Adams & Tina Turner;1985;814;0;0;1462;1840;1511;1781;0;0;0;0;0;0;0;0;0
All For Love;Bryan Adams, Rod Stewart & Sting;1994;0;0;0;0;0;0;0;0;0;0;0;0;0;1999;1987;0
Let's Stick Together;Bryan Ferry;1976;1005;610;1181;923;859;714;963;1171;1155;974;1273;1217;1462;1742;1796;1638
Making Your Mind Up;Bucks Fizz;1981;1885;0;1946;0;0;0;0;0;0;0;0;0;0;0;0;0
Another Day;Buckshot Lefonque;1997;719;779;1740;1171;1495;1637;1840;1829;1948;1695;0;0;1976;1935;1748;0
Peggy Sue;Buddy Holly;1957;483;489;651;454;307;524;488;505;457;450;1046;960;1155;1441;1507;1977
Because I Love You;Buddy Holly;1956;1106;0;0;0;0;1257;983;1000;864;1189;1602;1614;1832;1856;0;0
That'll Be The Day;Buddy Holly;1957;1013;971;952;1075;580;1147;1113;1146;1483;1095;1678;1593;1781;1900;1901;0
Well Allright;Buddy Holly;1958;1505;0;1676;1443;829;1691;1594;1923;1943;1635;0;0;0;0;0;0
Chan Chan;Buena Vista Social Club;1997;539;0;707;403;429;375;376;478;630;473;665;664;553;446;417;462
For What It's Worth;Buffalo Springfield;1967;1104;0;981;716;989;869;1094;1408;1401;1170;1565;1536;1341;1461;1115;1701
Expecting To Fly;Buffalo Springfield;1968;324;0;0;443;568;581;758;805;666;672;1121;1023;1242;1520;1563;1750
It's The End;Buffoons;1968;1493;958;1803;1511;1385;1514;1242;1273;1375;1346;1892;1927;0;0;0;0
Tomorrow Is Another Day;Buffoons;1967;1506;1122;1277;957;1225;1113;1189;1356;1267;1222;1770;1781;0;0;0;0
Video Killed The Radio Star;Buggles;1979;1545;807;1888;1265;1535;1581;1862;0;0;0;0;0;0;0;0;0
Mon Amour;BZN;1976;607;384;857;844;974;630;373;443;317;435;850;913;1305;1502;1583;1628
Just An Illusion;BZN;1983;0;0;0;0;1351;1026;719;747;496;760;1348;1624;1847;0;0;0
Pearlydumm;BZN;1980;1498;0;0;0;0;0;1826;1462;929;1703;0;0;0;0;0;0
Sweet Silver Anny;BZN;1973;0;0;0;0;0;0;1901;1725;1513;1917;0;0;0;0;0;0
C'est Moi;C. Jérome;1974;0;0;1418;1899;0;1802;1537;1807;1910;1803;1404;1715;1688;1427;0;0
Who Do You Think You Are;Candlewick Green;1974;1986;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lily Was Here;Candy Dulfer & Dave Stewart;1989;1081;1891;0;1711;0;1959;0;0;0;0;0;0;0;1523;1881;1411
On The Road Again;Canned Heat;1968;779;444;840;629;854;1174;715;730;779;758;964;934;1003;1056;1188;1070
Do That To Me One More Time;Captain & Tenille;1980;1556;0;1919;0;0;0;0;0;0;0;0;0;0;0;0;0
Adios Nonino;Carel Kraayenhof ;2002;0;0;0;0;0;0;0;1310;999;1800;1596;1263;1299;1218;1955;1693
Kung Fu Fighting;Carl Douglas;1974;0;1615;1850;0;0;0;0;0;0;0;0;0;0;0;0;0
They All Went To Mexico;Carlos Santana & Willie Nelson;1983;0;1867;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Call Me Maybe;Carly Rae Jepsen;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;584;1756;0
You're So Vain;Carly Simon;1973;546;775;365;480;387;374;431;502;568;457;537;567;570;882;907;714
Coming Around Again;Carly Simon;1987;1387;0;1231;1351;1630;1636;1767;1728;1327;1572;1998;1597;1490;0;0;0
It's Hard To Be Tender;Carly Simon;1989;1333;0;0;1517;1565;1784;1677;0;1957;1951;0;0;0;0;0;0
A Night Like This;Caro Emerald;2009;0;0;0;0;0;0;0;0;0;0;0;22;48;100;155;204
Back It Up;Caro Emerald;2009;0;0;0;0;0;0;0;0;0;0;0;197;585;668;752;1097
That Man;Caro Emerald;2010;0;0;0;0;0;0;0;0;0;0;0;0;605;943;916;1387
Liquid Lunch;Caro Emerald;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1521
Tangled Up;Caro Emerald;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1869
Riviera Life;Caro Emerald;2011;0;0;0;0;0;0;0;0;0;0;0;0;1424;0;0;0
Stuck;Caro Emerald;2010;0;0;0;0;0;0;0;0;0;0;0;0;1022;1435;1600;0
You've Got A Friend;Carole King;1971;450;582;444;505;487;367;536;456;454;438;550;484;608;702;734;638
It's Too Late;Carole King;1971;1615;0;1301;1279;1503;1767;1650;1753;1779;1669;1782;1673;1824;1695;1921;1967
Top Of The World;Carpenters;1973;408;0;567;518;652;496;491;492;517;520;499;456;698;672;805;791
(They Long To Be) Close To You;Carpenters;1970;579;565;752;1024;730;846;1160;1205;1008;978;987;975;1173;966;1367;1338
Yesterday Once More;Carpenters;1973;699;809;796;732;998;991;938;924;1156;960;1271;888;1278;1320;1665;1592
Love's What I Want;Cashmere;1979;0;1849;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jesamine;Casuals;1968;0;1613;1587;1606;0;1994;0;0;0;0;0;0;0;0;0;0
Morning Has Broken;Cat Stevens;1972;203;168;131;78;88;76;104;118;97;94;124;115;165;291;313;276
Father And Son;Cat Stevens;1971;284;0;286;237;352;497;271;259;247;278;214;211;289;460;414;476
Lady d'Arbanville;Cat Stevens;1970;706;633;396;562;440;603;612;744;686;622;580;593;828;1017;1281;1284
Banapple Gas;Cat Stevens;1976;0;1984;1583;0;0;0;0;0;0;0;0;0;0;0;0;0
Matthew And Son;Cat Stevens;1967;0;928;1304;1636;1997;1991;1976;0;0;0;0;0;0;0;0;0
Un, Deux, Trois;Catherine Ferry;1976;0;1807;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tap Turns On Yhe Water;CCS (Collective Conciousness Society);1971;0;1864;0;0;0;0;0;0;0;0;0;0;0;0;0;0
My Heart Will Go On;Celine Dion;1998;41;89;209;238;354;334;400;419;326;337;559;562;637;598;849;922
Pour Que Tu M'Aimes Encore;Celine Dion;1995;295;0;716;787;769;796;898;910;986;867;1181;1220;1319;1252;1621;1707
The Power Of Love;Celine Dion;1994;523;0;644;812;1006;786;814;893;761;802;1344;1208;1393;612;1705;1791
Because You Loved Me;Celine Dion;1996;0;0;1116;954;1382;1025;1182;1194;1002;1138;1546;1660;1776;1690;0;0
I'm Alive;Celine Dion;2002;0;0;0;0;0;0;1258;1156;897;1524;1438;1500;1529;1793;0;0
Immortality;Celine Dion;1998;0;0;0;0;0;0;1266;1134;1149;1636;1496;1631;1560;1647;1969;0
Think Twice;Celine Dion;1995;389;485;1174;1086;1145;1408;1525;1740;0;1768;0;0;0;0;0;0
I'm Every Woman;Chaka Khan;1979;866;1107;1079;1143;1773;1311;1505;1853;1749;1607;2000;1304;1680;1738;1832;1937
How 'Bout Us;Champaign;1981;1131;1212;1594;1563;1450;1565;1610;1360;1658;1511;0;1929;0;0;0;0
I've Never Been To Me;Charlene;1982;905;885;1220;1470;1619;1785;1523;1682;1755;1630;0;0;0;0;0;0
Would I Lie To You;Charles & Eddie;1992;1500;1584;1917;1796;0;0;0;0;0;0;0;0;0;0;0;0
She;Charles Aznavour;1974;343;1079;542;229;236;175;183;149;118;147;141;140;158;210;169;137
Yesterday When I Was Young;Charles Aznavour;1970;1090;0;1338;940;778;961;704;721;545;697;812;844;1027;1021;629;872
La Mamma;Charles Aznavour;1964;1112;0;1467;1298;1297;1175;1044;831;763;923;1018;1108;1176;1393;1294;1499
For Me Formidable;Charles Aznavour;1963;0;0;0;0;0;0;0;1909;1882;0;0;0;0;0;1543;1951
The Old Fashioned Way;Charles Aznavour;1973;997;0;1515;1049;1268;1242;1000;1163;1204;1175;1584;1540;1791;0;1843;0
La Mer;Charles Trenet;1952;1249;0;1400;1463;1386;1399;1342;1058;1404;1292;1498;1753;1772;1668;1888;1822
The Devil Went Down To Georgia;Charlie Daniels Band;1979;754;0;607;878;1209;1235;1395;1328;1410;1282;1214;1293;1472;1504;1477;1232
The Most Beautiful Girl;Charlie Rich;1974;1350;0;1839;0;1984;1864;1962;0;0;0;0;0;0;0;0;0
Ain't No Pleasing You;Chas & Dave;1982;1935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
I Want You To Want Me;Cheap Trick;1979;677;572;738;903;813;703;940;832;814;778;1187;1193;1300;1225;1239;1068
In Your Arms;Chef'Special;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;396
Believe;Cher;1998;0;0;919;1004;1044;1159;1462;1723;0;1742;0;0;0;0;0;0
Gypsies Tramps And Thieves;Cher;1971;0;1963;0;1578;0;0;0;0;0;0;0;0;0;0;0;0
If I Could Turn Back Time;Cher;1989;0;833;1514;1139;1543;1173;1748;1765;1841;1604;1962;1748;1997;0;0;0
Go Like Elijah;Chi Coltrane;1973;328;285;207;135;189;228;368;209;182;198;238;237;358;362;449;432
You Were My Friend;Chi Coltrane;1973;1008;943;544;448;1021;948;957;1348;1006;999;1159;1148;1578;0;1711;1920
Le Freak;Chic;1978;845;861;980;1259;1533;915;1444;1361;1326;1263;1933;1583;1838;1693;1172;1153
Good Times;Chic;1979;0;1934;0;0;0;0;0;0;0;0;0;0;0;0;0;0
If You Leave Me Now;Chicago;1976;104;103;103;119;218;165;214;250;222;194;288;252;383;634;677;627
25 Or 6 To 4;Chicago;1970;457;433;382;394;439;566;729;684;745;618;804;800;935;889;960;1071
You're The Inspiration ;Chicago;1985;771;0;1016;955;1232;1402;1435;1447;1402;1367;1873;1649;1653;1918;1841;1740
Hard To Say I'm Sorry;Chicago;1982;0;985;1350;839;1090;1314;1578;1936;1757;1540;0;1919;1984;1849;1900;1986
Baby What A Big Surprise;Chicago;1977;0;0;0;509;0;0;0;0;0;0;0;0;0;0;0;0
Feeling Stronger Every Day;Chicago;1973;0;1207;1047;1320;1629;1554;1779;1940;0;1889;1920;1887;0;0;0;0
I'm A Man;Chicago;1969;0;1104;1455;1217;1487;1251;1562;0;0;1994;0;0;0;0;0;0
Wishing You Were Here;Chicago;1974;0;0;0;0;1349;1394;1376;1514;1843;1627;1594;1387;1867;0;0;0
I'd Rather Go Blind;Chicken Shack;1969;1061;630;833;828;1036;914;1249;1441;1330;1177;1586;1718;1884;1615;1726;1853
Son Of My Father;Chicory Tip;1972;1857;1905;0;0;0;0;0;0;0;0;0;0;0;0;0;0
He's So Fine;Chiffons;1963;0;1964;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Have You Seen Her;Chi-lites;1971;1943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Wishful Thinking;China Crisis;1984;0;873;1371;824;1072;1115;1347;1744;1774;1426;1825;1782;1978;1561;1732;1384
To Whom It Concerns;Chris Andrews;1965;0;0;1529;1182;0;0;0;0;0;0;0;0;0;0;0;0
Yesterday Man;Chris Andrews;1965;1715;0;1848;1870;1632;1775;1948;0;0;0;0;0;0;0;0;0
Ice Cream;Chris Barber's Jazz Band;1958;0;0;0;0;0;0;0;1387;1334;1914;0;0;0;0;0;0
Petite Fleur;Chris Barber's Jazz Band;1959;1348;0;0;1767;1765;1890;0;1410;1407;1740;0;0;0;0;0;0
The Lady In Red;Chris De Burgh;1986;182;268;290;208;177;169;156;148;134;144;297;305;395;575;532;601
The Head And The Heart;Chris De Burgh;1984;0;0;0;0;0;0;0;900;662;1419;999;889;908;1311;1389;1353
Out Of Time;Chris Farlowe;1966;1717;1733;0;1991;1897;1883;0;0;0;0;0;0;0;0;0;0
Wicked Game;Chris Isaak;1991;0;0;0;0;1577;573;0;843;830;1059;970;995;889;927;514;750
Blue Hotel;Chris Isaak;1987;759;719;978;832;876;754;1111;1460;1274;1092;1370;1309;1207;1373;1185;1585
Let's Dance;Chris Montez;1963;1884;0;0;0;1941;0;0;0;0;0;0;0;0;0;0;0
Driving Home For Christmas;Chris Rea;1986;630;0;630;546;748;560;566;639;552;597;528;580;587;923;732;677
Josephine;Chris Rea;1985;561;612;387;308;542;500;529;585;546;522;626;621;708;1082;919;1093
On The Beach;Chris Rea;1986;929;1345;1001;976;1304;1101;1241;1352;1396;1269;1424;1426;1414;1774;1914;1956
Fool (If You Think It's Over);Chris Rea;1978;0;0;1250;1338;1970;1754;1823;1778;0;1930;0;0;0;0;0;0
Words;Christians;1990;0;0;0;0;1415;1777;0;0;0;0;0;0;0;0;0;0
Yellow River;Christie;1970;1745;0;0;0;1582;0;0;0;0;0;0;0;0;0;0;0
Hurt;Christina Aguilera;2006;0;0;0;0;0;0;0;0;0;0;829;640;606;571;525;745
Beautiful;Christina Aguilera;2003;0;0;0;0;0;0;0;0;867;0;1203;1130;913;870;1265;1572
Sailing;Christopher Cross;1981;909;0;1450;1291;1301;1638;1698;1712;1661;1616;0;0;0;1803;1983;0
Let's Twist Again;Chubby Checker;1962;957;1334;1743;1695;1805;1639;1720;1859;1783;1718;0;0;0;0;0;0
Lovely Lovely;Chubby Checker;1965;1600;1618;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Twist;Chubby Checker;1962;1588;1748;1953;0;0;0;0;0;0;0;0;0;0;0;0;0
Johnny B. Goode;Chuck Berry;1958;714;786;650;914;839;760;914;1167;876;894;862;905;719;904;763;847
Come On;Chuck Berry;1962;0;1926;1995;0;0;0;0;0;0;0;0;0;0;0;0;0
No Particular Place To Go;Chuck Berry;1964;0;0;1399;1714;0;1933;0;0;0;0;0;0;0;0;0;0
Roll Over Beethoven;Chuck Berry;1956;1462;1467;1672;1468;1462;1525;1870;0;1748;1880;0;0;1929;0;0;0
Anyone Who Had A Heart;Cilla Black;1964;0;0;1880;1948;1797;1812;1722;0;0;0;0;0;0;0;0;0
Love's Just A Broken Heart;Cilla Black;1984;0;1784;0;0;0;0;0;0;0;0;0;0;0;0;0;0
You're My World;Cilla Black;1964;1847;0;0;0;1957;0;0;0;0;0;0;0;0;0;0;0
Monica;Circus Custers;1987;1141;0;1398;1509;1500;1573;1648;1818;1740;1663;1887;0;0;0;0;0
Alegria;Cirque du Soleil ;1997;0;0;0;0;0;0;0;1372;1228;1877;1792;1768;1541;1133;1591;0
The Road Ahead;City To City;1999;1999;0;572;536;607;791;670;824;889;747;1380;1339;1243;1385;1526;1481
In A Lifetime;Clannad;1986;0;349;259;280;403;430;503;503;521;454;651;642;563;779;765;816
Theme From Harry's game;Clannad;1983;253;309;414;417;457;531;646;704;785;605;996;1011;1019;1348;1238;1069
You're A Friend Of Mine;Clarence Clemons & Jackson Browne;1986;1846;1585;0;1522;0;1837;0;0;0;0;0;0;0;0;0;0
(I Don't Know Why) But I Do;Clarence 'Frogman' Henry;1961;0;1813;0;0;0;0;0;0;0;0;0;0;0;0;0;0
My Lady Of Spain;Classics;1972;0;1392;0;1804;1381;1787;1839;1942;1669;1729;0;0;0;0;0;0
Mag Ik Dan Bij Jou;Claudia De Breij;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;1565;472;19
Rather Be;Clean Bandit;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1658
Bachelor Boy;Cliff Richard;1963;886;1061;1532;0;1891;1769;1817;1671;1705;1723;1653;1953;0;0;0;0
Congratulations;Cliff Richard;1968;624;1093;1417;0;0;1996;1925;1983;1926;1884;0;0;0;0;0;0
Do You Wanna Dance;Cliff Richard;1962;644;881;749;1450;1334;1342;1375;1478;1412;1364;1623;0;0;0;0;0
Don't Talk To Him;Cliff Richard;1963;0;1430;1588;0;0;0;0;0;0;0;0;0;0;0;0;0
I Could Easily Fall In Love;Cliff Richard;1960;0;1173;1728;0;1867;1960;0;0;0;0;0;0;0;0;0;0
It'll Be Me;Cliff Richard;1962;0;1384;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Living Doll;Cliff Richard;1959;0;635;684;800;949;932;991;912;875;878;1274;1402;1410;0;0;0
Lucky Lips;Cliff Richard;1963;943;1180;1225;1622;1825;1662;1690;1707;1583;1633;1900;0;0;0;0;0
Miss You Nights;Cliff Richard;1976;473;513;482;834;980;778;887;1064;899;874;1148;1282;1515;0;0;0
Move It;Cliff Richard;1958;0;0;0;0;0;0;0;0;0;0;1409;1876;0;0;0;0
Please Don't Tease;Cliff Richard;1960;668;0;1248;1973;1579;1751;1879;0;1760;1927;0;0;0;0;0;0
Power To All Our Friends;Cliff Richard;1973;843;1002;920;1423;1968;1979;1900;1917;1709;1735;0;0;0;0;0;0
Some People;Cliff Richard;1987;0;663;817;1370;1616;1405;1600;1938;1586;1582;1982;0;0;0;0;0
Summer Holiday;Cliff Richard;1963;578;1081;1282;1388;1604;1516;1560;1510;1465;1487;1710;1882;0;0;0;0
The best Of Me;Cliff Richard;1985;920;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Day I Met Marie;Cliff Richard;1967;0;972;1203;1343;1688;1664;1922;0;1840;1916;0;0;0;0;0;0
The Young Ones;Cliff Richard;1962;325;624;633;942;1024;943;1138;1254;1011;1042;1349;1488;1801;0;0;0
We Don't Talk Anymore;Cliff Richard;1979;519;872;753;1629;0;1851;1913;1966;1912;1805;0;0;0;0;0;0
Living Doll;Cliff Richard & The Young Ones;1986;134;371;374;450;1008;696;967;1081;1103;887;916;973;1049;1574;1160;1314
Daar Gaat Ze;Clouseau;1990;267;219;230;378;272;263;246;284;253;253;464;529;596;677;921;1037
Passie;Clouseau;1995;533;594;694;947;1078;834;824;891;1023;896;1540;1441;1516;1870;1696;1968
Anne;Clouseau;1989;0;0;0;0;0;0;1298;1539;1468;1809;0;0;0;0;0;0
Domino;Clouseau;1990;0;0;0;0;0;0;0;0;0;0;1621;0;1844;1926;1801;0
Substitute;Clout;1978;1457;1003;1323;1246;1788;1416;1729;1889;0;1868;1728;0;0;0;0;0
Yakety Yak;Coasters;1958;1967;1915;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Promise You Made;Cock Robin;1986;425;645;528;753;776;567;698;793;936;731;990;1092;1058;1365;1203;1210
Thought You Were On My Side;Cock Robin;1986;1667;0;0;0;0;1794;0;0;0;0;0;0;0;0;0;0
Sebastian;Cockney Rebel;1973;61;84;49;76;90;92;116;146;151;120;191;172;170;244;334;377
Fix You;Coldplay;2005;0;0;0;0;0;0;0;0;0;0;1494;235;69;40;20;15
Clocks;Coldplay;2003;0;0;0;0;733;10;7;9;6;11;8;8;8;9;12;20
Viva La Vida;Coldplay;2009;0;0;0;0;0;0;0;0;0;0;11;7;9;16;15;23
The Scientist;Coldplay;2002;0;0;0;0;0;0;0;0;0;0;84;89;39;34;29;36
Yellow;Coldplay;2000;0;0;0;0;0;0;0;0;0;0;0;0;190;176;154;195
Paradise;Coldplay;2011;0;0;0;0;0;0;0;0;0;0;0;0;74;126;149;220
Trouble;Coldplay;2002;0;0;0;0;0;0;0;0;0;0;0;0;381;297;322;444
Every Teardrop Is A Waterfall;Coldplay;2011;0;0;0;0;0;0;0;0;0;0;0;0;258;411;434;583
A Sky Full Of Stars;Coldplay;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;667
Atlas;Coldplay;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1464;763
Talk;Coldplay;2005;0;0;0;0;0;0;0;0;0;0;595;683;701;695;566;806
Speed Of Sound;Coldplay;2005;0;0;0;0;0;0;0;1216;334;1140;542;636;591;737;704;826
Magic;Coldplay;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1027
Lost;Coldplay;2008;0;0;0;0;0;0;0;0;0;0;497;699;658;761;845;1141
The Hardest Part;Coldplay;2006;0;0;0;0;0;0;0;0;0;0;568;835;810;822;926;1196
Life In Technicolor II;Coldplay;2009;0;0;0;0;0;0;0;0;0;0;418;730;884;938;900;1216
Violet Hill;Coldplay;2008;0;0;0;0;0;0;0;0;0;0;0;0;767;876;780;1219
Charlie Brown;Coldplay;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;631;797;1235
Lovers In Japan;Coldplay;2009;0;0;0;0;0;0;0;0;0;0;434;741;900;1184;1319;1905
Hurts Like Heaven;Coldplay;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1599;0
I Don't Believe In Miracles;Colin Blunstone;1972;0;0;0;0;0;0;0;1274;1466;1907;1393;1716;1840;0;0;0
Wonderful ;Colin Blunstone;1973;1424;0;846;1080;1126;1020;1122;1109;1316;1150;1450;1611;1876;1850;0;0
What Becomes Of The Broken Hearted;Colin Blunstone & Dave Stewart;1981;0;0;1765;0;0;1891;1921;0;0;0;0;0;0;0;0;0
Three Times A Lady;Commodores;1978;553;520;810;691;736;607;490;795;938;700;1083;880;1023;1572;1471;1761
Everybody's Somebody's Fool;Connie Francis;1960;0;1252;0;1890;1294;1616;1156;0;1992;1857;0;0;0;0;0;0
Zwei Kleine Italiener;Conny Froboess;1962;0;1412;0;1440;1438;1500;1509;1575;1515;1539;0;0;0;0;0;0
Een Roosje M'n Roosje;Conny Vandenbos;1974;1622;1688;1746;0;0;1362;1535;1888;1457;1736;0;0;0;0;0;0
Ik Ben Gelukkig Zonder Jou;Conny Vandenbos;1966;0;0;0;0;0;0;0;0;1884;0;0;0;0;0;0;0
Paleis Met Gouden Muren;Conny Vandenbos;1966;1746;0;0;0;0;0;465;0;0;0;0;0;0;0;0;0
Sjakie Van De Hoek;Conny Vandenbos;1975;1636;0;1362;1803;1725;1047;1291;1662;1532;1480;0;0;0;0;0;0
All The Love In The World;Consortium;1969;0;1540;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Do You Love Me;Contours;1963;1765;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gangsta's Paradise;Coolio;1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1467
Bakker De Baksteen;Cornelis Vreeswijk;1976;0;0;0;0;0;0;0;0;1829;0;0;0;0;0;0;0
Veronica;Cornelis Vreeswijk ;1972;0;0;0;0;0;0;1333;885;672;1235;1127;1154;1317;1283;1695;0
Huilen Is Voor Jou Te Laat;Corry & De Rekels;1970;983;1172;1190;1561;1113;1089;1417;1806;1305;1375;0;0;0;0;0;0
La Mamma;Corry Brokken;1964;1407;0;0;1913;1926;1925;1792;1944;1694;1778;0;0;0;0;0;0
Mr. Jones;Counting Crows;1994;0;0;0;0;0;0;0;0;391;1666;662;643;611;708;568;717
A Long December;Counting Crows;1996;0;0;0;0;0;0;0;0;519;1824;746;848;807;859;892;1085
Accidentally In Love;Counting Crows;2004;0;0;0;0;0;0;0;0;0;0;1305;1323;1065;726;1168;1623
Holiday In Spain;Counting Crows & Bløf;2004;0;0;0;0;0;1885;0;77;92;201;185;168;226;269;249;337
Big Yellow Taxi;Counting Crows & Vanessa Carlton;2002;0;0;0;0;0;0;1577;1946;1322;1882;1950;1693;1726;0;1880;0
I Feel Like I'm Fixing To Die' Rag;Country Joe & The Fish;1970;1400;1670;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mmm Mmm Mmm Mmm;Crash Test Dummies;1994;0;0;0;0;0;0;0;0;0;0;1503;1458;1248;1328;1269;1239
Fire;Crazy World of Arthur Brown;1968;1766;1664;1911;0;0;0;0;0;0;0;0;1985;0;0;0;0
White Room;Cream;1968;259;175;438;301;293;308;297;564;499;398;474;551;504;533;569;415
Sunshine Of Your Love;Cream;1968;912;840;1246;1369;957;826;953;1017;1085;988;1151;1256;1104;1167;1132;984
I Put A Spell On You;Creedence Clearwater Revival;1972;56;36;38;54;53;49;56;60;61;54;83;53;77;132;152;143
Have You Ever Seen The Rain;Creedence Clearwater Revival;1971;0;185;208;300;365;287;305;204;203;232;216;177;193;224;244;280
Bad Moon Rising;Creedence Clearwater Revival;1969;303;208;250;201;302;255;263;216;227;226;266;218;287;229;325;369
Fortunate Son;Creedence Clearwater Revival;1969;0;0;0;0;0;0;0;0;0;0;0;0;0;1762;1013;408
Who'll Stop The Rain;Creedence Clearwater Revival;1970;260;546;202;236;183;215;243;215;246;212;287;244;385;517;551;630
