titel;artiest;jaar;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
De Kapitein Deel II;Acda & De Munnik;2000;0;0;0;105;212;329;388;404;362;338;681;589;666;896;779;991
Voetstuk Staan;Acda & De Munnik;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;1144;1425;1515
Eva;Acda & De Munnik;2010;0;0;0;0;0;0;0;0;0;0;0;820;1077;1640;1807;0
How Long;Ace;1974;1126;0;1041;1119;1439;1759;0;0;1673;1968;0;0;0;0;0;0
All That She Wants;Ace Of Base;1993;0;0;0;0;0;0;0;0;1333;0;0;1888;1938;0;0;0
Stand And Deliver;Adam & the Ants;1981;0;0;861;0;0;0;0;0;0;0;0;0;0;0;0;0
Vous Permettez Monsieur;Adamo;1964;358;337;318;277;333;243;232;272;146;209;664;492;635;1243;1484;1646
Tombe La Neige;Adamo;1964;464;531;347;506;496;493;387;427;226;355;795;635;895;1475;1743;1839
Inch' Allah;Adamo;1967;0;0;0;0;0;0;984;686;501;957;1123;983;1171;1634;1960;1973
C'est Ma Vie;Adamo;1976;0;0;0;0;0;0;0;1633;1088;1898;0;0;0;0;0;0
Dolce Paola;Adamo;1965;0;0;1038;1079;1069;931;732;923;610;788;1458;1343;1845;0;0;0
Killer;Adamski;1990;0;0;0;0;0;0;0;0;0;0;1897;0;1590;1658;1971;1957
Someone Like You;Adele;2011;0;0;0;0;0;0;0;0;0;0;0;0;6;8;25;35
Make You Feel My Love;Adele;2008;0;0;0;0;0;0;0;0;0;0;28;12;19;23;53;61
Rolling In The Deep;Adele;2010;0;0;0;0;0;0;0;0;0;0;0;0;21;13;75;88
Skyfall;Adele;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;112;61;93
Set Fire To The Rain;Adele;2011;0;0;0;0;0;0;0;0;0;0;0;0;26;37;103;106
Chasing Pavements;Adele;2008;0;0;0;0;0;0;0;0;0;0;530;309;209;246;437;482
Turning Tables;Adele;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;168;425;563
Rumour Has It;Adele;2011;0;0;0;0;0;0;0;0;0;0;0;0;220;277;611;808
Adiemus;Adiemus;1995;0;0;638;1387;825;965;929;1207;887;969;1717;1449;1349;1326;1617;1949
Azzuro;Adriano Celentano;1969;0;0;0;0;0;0;0;0;1686;0;0;0;0;0;0;0
Prisencolinensinainciusol;Adriano Celentano;1973;0;0;742;764;750;642;860;1234;893;871;1823;1690;1836;0;0;0
Dream On;Aerosmith;1973;0;0;0;0;0;0;0;1632;133;708;208;191;189;243;205;225
I Don't Want To Miss A Thing;Aerosmith;1998;0;0;0;0;0;0;0;0;178;1030;441;294;278;419;369;378
Love In An Elevator;Aerosmith;1989;0;0;0;0;0;0;0;0;0;0;1205;1008;997;1297;1279;1289
Crying;Aerosmith;1993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1599
Crazy;Aerosmith;1993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1694
Ramaya;Afric Simone;1975;0;0;1877;0;0;0;0;0;0;0;0;0;0;0;0;0
Not Just A Flower In Your Hair;After tea;1967;0;0;1347;1486;1551;1871;1595;0;1712;1896;0;0;0;0;0;0
Wrap Your Arms Around Me;Agnetha Faltskog;1983;0;0;0;1391;1250;1124;1198;1825;1476;1461;0;0;0;0;0;0
Take On Me;A-Ha;1985;132;68;72;79;145;146;147;247;179;152;345;293;308;368;394;284
Hunting High And Low;A-Ha;1986;0;364;0;0;0;0;592;818;605;962;844;720;917;950;1037;942
The Sun Always Shines On TV;A-Ha;1986;0;870;494;357;909;1273;1190;1627;1272;1159;1716;1635;1710;1713;0;1827
All I Need;Air;1999;0;0;0;0;0;0;690;415;201;559;461;480;414;432;539;516
Racing Car;Air Bubble;1976;0;0;0;1713;1947;0;0;0;0;0;0;0;0;0;0;0
